SiteID,Latitude,Longitude,A_As,A_Pb,A_Se
11512,33.3495,-96.0113,11.70,20.60,0.30
11520,26.1222,-97.1706,5.70,16.80,0.30
11548,29.3314,-99.9361,7.30,17.20,0.30
11576,29.5574,-94.3707,5.30,15.80,<0.2
11583,32.6228,-101.0206,4.80,15.20,0.20
11612,29.4539,-95.9281,10.60,27.90,0.40
11647,34.7199,-100.8883,4.60,11.30,<0.2
11652,30.6357,-103.8519,8.50,68.70,0.20
11704,33.0856,-99.0145,8.10,20.40,0.20
11716,30.5572,-100.8193,8.60,20.00,0.40
11759,31.7634,-102.8404,0.80,3.40,<0.2
11804,26.7968,-98.4209,1.70,17.30,<0.2
11839,31.7857,-102.3008,3.00,6.70,<0.2
11868,29.776,-95.5575,#VALUE!,#VALUE!,#VALUE!
11896,34.0667,-99.5177,3.10,6.90,<0.2
11903,34.6984,-102.7992,6.80,17.40,0.20
11960,32.7037,-97.8341,3.60,7.70,<0.2
11980,30.4155,-99.3464,5.50,9.90,0.20
12024,32.4418,-95.0601,4.90,20.40,0.40
12095,31.1429,-101.1753,7.10,12.90,0.40
12108,31.9051,-94.0245,1.70,12.10,<0.2
12124,29.6417,-96.4271,#VALUE!,#VALUE!,#VALUE!
12152,30.9487,-97.3962,7.10,18.50,0.40
12159,34.3765,-100.4635,4.70,12.90,<0.2
12164,30.445,-102.3226,6.40,13.90,0.30
12207,31.1134,-104.627,3.90,13.10,0.20
12236,28.9045,-97.8772,4.90,10.90,<0.2
12280,32.2929,-97.2929,1.40,18.40,<0.2
12300,31.6202,-96.1793,3.50,13.80,0.50
12316,29.4708,-97.4916,4.70,13.10,0.40
12415,32.8999,-102.6129,2.10,6.60,<0.2
12420,30.5452,-104.159,13.20,24.40,0.70
12444,29.0408,-96.7072,3.40,8.90,<0.2
12472,31.8504,-98.0871,5.40,11.10,0.40
12484,30.5053,-101.4103,7.90,18.10,0.40
12556,31.8662,-94.7959,5.70,10.10,<0.2
12572,28.5583,-99.1287,5.80,11.10,<0.2
12628,31.3092,-105.8391,2.70,12.70,<0.2
12636,27.8132,-97.6816,4.70,16.60,<0.2
12671,33.5753,-102.328,4.20,12.70,<0.2
12728,31.7228,-99.942,13.40,12.30,<0.2
12740,28.6334,-100.1315,#VALUE!,#VALUE!,#VALUE!
12792,33.5355,-97.1323,8.20,19.70,0.30
12828,26.2672,-97.1901,2.00,6.50,<0.2
12863,32.8774,-100.3522,4.40,12.70,<0.2
12892,30.2013,-97.3253,3.20,13.70,0.40
12907,36.4951,-102.2418,5.10,18.10,<0.2
12927,35.1356,-101.3241,7.00,19.90,0.40
12984,32.3258,-99.5003,4.90,10.60,<0.2
12996,30.0517,-100.7219,6.60,13.00,0.40
13039,31.953,-104.0142,2.80,3.60,<0.2
13084,27.5813,-99.0593,#VALUE!,#VALUE!,#VALUE!
13119,31.2294,-101.9278,5.90,17.10,0.30
13132,31.8062,-94.1424,5.90,20.90,0.50
13148,30.4513,-95.6341,3.00,13.40,<0.2
13176,33.3372,-98.4667,4.50,14.00,0.20
13183,34.781,-101.528,6.80,16.30,0.30
